142519864,2,100
242518965,1,100
141582651,1,50
141582651,5,50
141582657,1,25
141582657,5,75
011564812,3,100
254099823,3,100
356187925,2,100
489456522,7,100
287321212,2,100
248965255,3,100
159542516,4,100
090873519,2,100
486512566,4,100
619023588,1,100
489221823,2,100
548977562,4,100
578875478,6,100
051135593,2,100
060839453,2,100
112348546,2,100
115987938,2,100
132977562,2,100
269734834,2,100
280158572,2,100
301221823,2,100
318548912,2,100
320874981,2,100
322654189,2,100
348121549,2,100
351565322,2,100
451519864,2,100
455798411,2,100
550156548,2,50
552455318,2,25
556784565,2,25
567354612,2,75
573284895,2,50
574489456,2,50
015645489,6,100
015487874,6,100
054879887,6,100
098784544,6,100
074454898,6,100
156489494,6,100
179887498,6,100
156465461,6,100
128778823,6,100
178949844,6,100
298489484,6,100
274878974,6,100
267894232,6,100
254898318,6,100
289562686,6,100
291795563,6,100
334568786,6,100
355548984,6,100
310454876,6,100
390487451,6,100
454565232,6,50
